The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_products
The number of GCN layers: 2
The number of hidden units: 64
The number of training epoches: 5000
Learning rate: 0.001000
Initialized node g005.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 1.873 seconds.
Building the CSC structure...
        It takes 1.822 seconds.
Building the Feature Vector...
        It takes 0.656 seconds.
Building the Label Vector...
        It takes 0.405 seconds.
Number of classes: 47
Number of feature dimensions: 100
train nodes 196615, valid nodes 39323, test nodes 2213091
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 47
    Number of vertices: 2449029
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 4.00595	TrainAcc 0.0137	ValidAcc 0.0152	TestAcc 0.0174
    Epoch 1:	Loss 3.96912	TrainAcc 0.0171	ValidAcc 0.0183	TestAcc 0.0197
    Epoch 2:	Loss 3.92006	TrainAcc 0.0230	ValidAcc 0.0235	TestAcc 0.0237
    Epoch 3:	Loss 3.86356	TrainAcc 0.0338	ValidAcc 0.0327	TestAcc 0.0301
    Epoch 4:	Loss 3.80221	TrainAcc 0.0460	ValidAcc 0.0456	TestAcc 0.0384
    Epoch 5:	Loss 3.73769	TrainAcc 0.0617	ValidAcc 0.0617	TestAcc 0.0497
    Epoch 6:	Loss 3.67115	TrainAcc 0.0972	ValidAcc 0.0922	TestAcc 0.0685
    Epoch 7:	Loss 3.60343	TrainAcc 0.1333	ValidAcc 0.1246	TestAcc 0.0907
    Epoch 8:	Loss 3.53514	TrainAcc 0.1673	ValidAcc 0.1580	TestAcc 0.1141
    Epoch 9:	Loss 3.46673	TrainAcc 0.2035	ValidAcc 0.1935	TestAcc 0.1387
    Epoch 10:	Loss 3.39855	TrainAcc 0.2454	ValidAcc 0.2338	TestAcc 0.1661
    Epoch 11:	Loss 3.33086	TrainAcc 0.2931	ValidAcc 0.2800	TestAcc 0.1961
    Epoch 12:	Loss 3.26386	TrainAcc 0.3385	ValidAcc 0.3263	TestAcc 0.2248
    Epoch 13:	Loss 3.19771	TrainAcc 0.3851	ValidAcc 0.3695	TestAcc 0.2552
    Epoch 14:	Loss 3.13252	TrainAcc 0.4298	ValidAcc 0.4132	TestAcc 0.2839
    Epoch 15:	Loss 3.06837	TrainAcc 0.4707	ValidAcc 0.4488	TestAcc 0.3099
    Epoch 16:	Loss 3.00533	TrainAcc 0.5091	ValidAcc 0.4847	TestAcc 0.3346
    Epoch 17:	Loss 2.94345	TrainAcc 0.5431	ValidAcc 0.5163	TestAcc 0.3574
    Epoch 18:	Loss 2.88277	TrainAcc 0.5732	ValidAcc 0.5447	TestAcc 0.3778
    Epoch 19:	Loss 2.82331	TrainAcc 0.5979	ValidAcc 0.5687	TestAcc 0.3962
    Epoch 20:	Loss 2.76510	TrainAcc 0.6168	ValidAcc 0.5888	TestAcc 0.4127
    Epoch 21:	Loss 2.70816	TrainAcc 0.6329	ValidAcc 0.6066	TestAcc 0.4273
    Epoch 22:	Loss 2.65252	TrainAcc 0.6462	ValidAcc 0.6207	TestAcc 0.4403
    Epoch 23:	Loss 2.59818	TrainAcc 0.6570	ValidAcc 0.6338	TestAcc 0.4518
    Epoch 24:	Loss 2.54514	TrainAcc 0.6666	ValidAcc 0.6457	TestAcc 0.4623
    Epoch 25:	Loss 2.49341	TrainAcc 0.6742	ValidAcc 0.6562	TestAcc 0.4716
    Epoch 26:	Loss 2.44299	TrainAcc 0.6816	ValidAcc 0.6641	TestAcc 0.4799
    Epoch 27:	Loss 2.39388	TrainAcc 0.6881	ValidAcc 0.6717	TestAcc 0.4875
    Epoch 28:	Loss 2.34606	TrainAcc 0.6936	ValidAcc 0.6780	TestAcc 0.4944
    Epoch 29:	Loss 2.29953	TrainAcc 0.6989	ValidAcc 0.6844	TestAcc 0.5009
    Epoch 30:	Loss 2.25427	TrainAcc 0.7037	ValidAcc 0.6902	TestAcc 0.5067
