The graph dataset locates at /anvil/projects/x-cis220117/gnn_datasets/reordered/ogbn_arxiv
The number of GCN layers: 3
The number of hidden units: 16
The number of training epoches: -1
Learning rate: 0.001000
Initialized node g003.anvil.rcac.purdue.edu
Building the CSR structure...
        It takes 0.043 seconds.
Building the CSC structure...
        It takes 0.037 seconds.
Building the Feature Vector...
        It takes 0.052 seconds.
Building the Label Vector...
        It takes 0.020 seconds.
Number of classes: 40
Number of feature dimensions: 128
train nodes 90941, valid nodes 29799, test nodes 48603
*** Allocating resources for all tensors...
    OP_TYPE: OPERATOR_INPUT
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_RELU
    OP_TYPE: OPERATOR_WEIGHT
    OP_TYPE: OPERATOR_MATMUL
    OP_TYPE: OPERATOR_AGGREGATION
    OP_TYPE: OPERATOR_SOFTMAX
*** Done allocating resource.
*** Preparing the input tensor...
*** Done preparing the input tensor.
*** Preparing the STD tensor...
    Number of labels: 40
    Number of vertices: 169343
*** Done preparing the STD tensor.
*** Done preparing the weight tensor.

****** Start model training... ******
    Epoch 0:	Loss 3.68492	TrainAcc 0.0355	ValidAcc 0.0306	TestAcc 0.0320
    Epoch 1:	Loss 3.68018	TrainAcc 0.0308	ValidAcc 0.0326	TestAcc 0.0353
    Epoch 2:	Loss 3.67364	TrainAcc 0.0284	ValidAcc 0.0321	TestAcc 0.0379
    Epoch 3:	Loss 3.66629	TrainAcc 0.0268	ValidAcc 0.0247	TestAcc 0.0294
    Epoch 4:	Loss 3.65877	TrainAcc 0.0272	ValidAcc 0.0195	TestAcc 0.0249
    Epoch 5:	Loss 3.65111	TrainAcc 0.0285	ValidAcc 0.0198	TestAcc 0.0243
    Epoch 6:	Loss 3.64291	TrainAcc 0.0287	ValidAcc 0.0189	TestAcc 0.0238
    Epoch 7:	Loss 3.63422	TrainAcc 0.0287	ValidAcc 0.0189	TestAcc 0.0231
    Epoch 8:	Loss 3.62509	TrainAcc 0.0287	ValidAcc 0.0188	TestAcc 0.0225
    Epoch 9:	Loss 3.61544	TrainAcc 0.0290	ValidAcc 0.0184	TestAcc 0.0223
    Epoch 10:	Loss 3.60508	TrainAcc 0.0293	ValidAcc 0.0187	TestAcc 0.0223
    Epoch 11:	Loss 3.59393	TrainAcc 0.0301	ValidAcc 0.0198	TestAcc 0.0239
    Epoch 12:	Loss 3.58200	TrainAcc 0.0388	ValidAcc 0.0247	TestAcc 0.0297
    Epoch 13:	Loss 3.56933	TrainAcc 0.0877	ValidAcc 0.0420	TestAcc 0.0416
    Epoch 14:	Loss 3.55597	TrainAcc 0.1574	ValidAcc 0.0732	TestAcc 0.0627
    Epoch 15:	Loss 3.54195	TrainAcc 0.1796	ValidAcc 0.0812	TestAcc 0.0642
    Epoch 16:	Loss 3.52730	TrainAcc 0.1798	ValidAcc 0.0796	TestAcc 0.0622
    Epoch 17:	Loss 3.51207	TrainAcc 0.1798	ValidAcc 0.0784	TestAcc 0.0612
    Epoch 18:	Loss 3.49633	TrainAcc 0.1795	ValidAcc 0.0779	TestAcc 0.0605
    Epoch 19:	Loss 3.48016	TrainAcc 0.1796	ValidAcc 0.0777	TestAcc 0.0601
    Epoch 20:	Loss 3.46362	TrainAcc 0.1795	ValidAcc 0.0773	TestAcc 0.0597
    Epoch 21:	Loss 3.44678	TrainAcc 0.1794	ValidAcc 0.0772	TestAcc 0.0595
    Epoch 22:	Loss 3.42973	TrainAcc 0.1793	ValidAcc 0.0771	TestAcc 0.0594
    Epoch 23:	Loss 3.41256	TrainAcc 0.1793	ValidAcc 0.0769	TestAcc 0.0593
    Epoch 24:	Loss 3.39535	TrainAcc 0.1793	ValidAcc 0.0769	TestAcc 0.0592
    Epoch 25:	Loss 3.37820	TrainAcc 0.1793	ValidAcc 0.0769	TestAcc 0.0591
    Epoch 26:	Loss 3.36132	TrainAcc 0.1794	ValidAcc 0.0769	TestAcc 0.0591
    Epoch 27:	Loss 3.34489	TrainAcc 0.1794	ValidAcc 0.0769	TestAcc 0.0592
    Epoch 28:	Loss 3.32903	TrainAcc 0.1794	ValidAcc 0.0769	TestAcc 0.0592
    Epoch 29:	Loss 3.31379	TrainAcc 0.1794	ValidAcc 0.0768	TestAcc 0.0591
    Epoch 30:	Loss 3.29917	TrainAcc 0.1793	ValidAcc 0.0768	TestAcc 0.0591
    Epoch 31:	Loss 3.28518	TrainAcc 0.1793	ValidAcc 0.0766	TestAcc 0.0590
    Epoch 32:	Loss 3.27186	TrainAcc 0.1793	ValidAcc 0.0766	TestAcc 0.0588
    Epoch 33:	Loss 3.25920	TrainAcc 0.1792	ValidAcc 0.0765	TestAcc 0.0587
    Epoch 34:	Loss 3.24720	TrainAcc 0.1792	ValidAcc 0.0764	TestAcc 0.0587
    Epoch 35:	Loss 3.23590	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 36:	Loss 3.22533	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 37:	Loss 3.21542	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 38:	Loss 3.20609	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 39:	Loss 3.19729	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 40:	Loss 3.18900	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 41:	Loss 3.18117	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 42:	Loss 3.17374	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 43:	Loss 3.16666	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 44:	Loss 3.15983	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
    Epoch 45:	Loss 3.15320	TrainAcc 0.1791	ValidAcc 0.0763	TestAcc 0.0586
